Hf	deltaHf ref=58.353600225426604
33.20941793234739	-25.14418229307921
47.15556088451264	-11.198039340913965
60.82453056893861	2.470930343512009
31.948544471867322	-26.40505575355928
42.24827241103482	-16.105327814391785
82.2759357462353	23.9223355208087
64.65975061800488	6.3061503925782745
80.5304520949983	22.176851869571692
65.79976666567815	7.446166440251545
45.58996263060614	-12.763637594820466
49.93518305250542	-8.418417172921181
58.55750604861602	0.20390582318941597
41.36009352949692	-16.993506695929682
49.84326865681648	-8.510331568610127
76.85651707308058	18.502916847653978
58.32360841674087	-0.029991808685736032
43.57809525595873	-14.775504969467875
68.66892178076229	10.315321555335686
79.01034746891015	20.65674724348355
17.30404562669061	-41.049554598735995
53.60319337654143	-4.750406848885177
29.980658993504008	-28.372941231922596
60.57807827732974	2.2244780519031337
63.946542441667376	5.592942216240772
67.05936778607862	8.70576756065202
68.42635251255776	10.072752287131152
103.5152618514228	45.1616616259962
87.13213099374913	28.778530768322526
39.52959277179686	-18.824007453629747
30.340782991225538	-28.012817234201066
62.24622564508242	3.8926254196558148
101.90036729707278	43.54676707164617
48.83336384279825	-9.520236382628354
45.17520058367951	-13.178399641747092
23.67133808819996	-34.682262137226644
56.67863762039339	-1.6749626050332154
47.27298156983012	-11.080618655596481
72.24957753136256	13.895977305935958
51.30460887673395	-7.0489913486926525
42.16766766472644	-16.185932560700167
72.8858508333549	14.53225060792829
55.04112781382061	-3.312472411605995
72.66823567115422	14.314635445727617
41.921609570305705	-16.4319906551209
48.8942159016449	-9.459384323781705
45.77749685006053	-12.576103375366074
58.82159061685958	0.46799039143297705
29.884893115890705	-28.4687071095359
86.0342667369812	27.68066651155459
79.0884255593344	20.734825333907793
23.633372075070625	-34.72022815035598
59.204332929101625	0.8507327036750212
38.590804127976995	-19.76279609744961
50.44856471360323	-7.905035511823371
42.58968594876275	-15.763914276663854
66.3276058854906	7.974005660063995
59.785045980323744	1.4314457548971404
50.85552285491646	-7.498077370510146
43.20675898615515	-15.146841239271453
67.46572538421675	9.11212515879015
34.17836851714743	-24.17523170827917
54.01334640257916	-4.340253822847444
60.56581622114824	2.2122159957216354
64.50846119087943	6.154860965452826
88.40290901800542	30.049308792578813
50.15032257604686	-8.203277649379743
92.31087183962588	33.95727161419927
33.35149875920685	-25.002101466219756
69.8720088222042	11.51840859677759
32.02538532760151	-26.32821489782509
64.32589289610839	5.972292670681782
36.518426633728055	-21.83517359169855
60.870564470952345	2.5169642455257417
73.45627537192992	15.102675146503316
5.212709738586241	-53.14089048684036
83.03678580906559	24.683185583638988
46.35660019105195	-11.99700003437465
33.43711594740013	-24.916484278026473
52.898357530423496	-5.455242695003108
56.3866009946221	-1.966999230804504
76.66441212135102	18.310811895924417
35.792807333997885	-22.56079289142872
44.72323899336767	-13.630361232058931
51.02250075705594	-7.331099468370667
62.18724901211023	3.833648786683625
42.45790621353878	-15.895694011887826
63.46080571180643	5.107205486379826
72.52447320030912	14.170872974882514
51.79739033170041	-6.556209893726191
51.94739520637519	-6.406205019051413
48.154840462347025	-10.198759763079579
55.24642256652511	-3.1071776589014917
66.26066628445257	7.907066059025965
14.406209382058265	-43.94739084336834
57.83480355095959	-0.518796674467012
54.97794818871695	-3.3756520367096527
64.22712235828728	5.873522132860671
22.469438488683195	-35.88416173674341
61.01548352857277	2.661883303146169
84.10181514900684	25.748214923580235
41.12293081099848	-17.23066941442812
61.61459871604963	3.260998490623024
37.54553686569558	-20.808063359731023
14.766323572461957	-43.58727665296465
48.794326533214885	-9.559273692211718
98.46545405177382	40.111853826347215
72.25149865882555	13.89789843339895
20.480228140183286	-37.87337208524332
45.107215894485094	-13.24638433094151
69.5028483828544	11.149248157427792
33.19067494824118	-25.162925277185423
79.54659467544913	21.192994450022525
63.232416943032845	4.878816717606242
73.78696786255092	15.43336763712432
63.43573753717716	5.082137311750557
67.17751738255244	8.823917157125834
66.25249790435625	7.898897678929643
39.050352845268904	-19.3032473801577
37.78850347996628	-20.565096745460323
78.91823439196084	20.564634166534233
58.434680223512956	0.08107999808635213
47.63193498600664	-10.721665239419963
95.51324368467682	37.15964345925022
30.532520286779587	-27.821079938647017
75.34602991875796	16.99242969333136
63.14604169923838	4.7924414738117775
62.049836966937406	3.696236741510802
43.87581697016573	-14.477783255260874
39.06081444674125	-19.292785778685356
55.33223868468555	-3.0213615407410543
101.70543159360456	43.351831368177955
44.877707580810934	-13.47589264461567
50.837860992004394	-7.5157392334222095
51.23952592161437	-7.114074303812231
58.36710454879427	0.013504323367669713
92.34617015413893	33.99256992871233
37.34213625390909	-21.011463971517514
72.26664833545216	13.913048110025557
82.0589587915863	23.705358566159703
39.24964670298574	-19.10395352244086
69.03595709030994	10.682356864883332
86.85507339899483	28.50147317356823
33.88739938832147	-24.466200837105134
60.849685329668105	2.4960851042415015
60.237779434854716	1.8841792094281118
65.90279812655423	7.549197901127627
59.39414969485439	1.0405494694277877
